user_id,image_paths,user_claim,claim_object
user_001,images/test/case_001/img_1_door_scratch.jpg;images/test/case_001/img_2_door_context.jpg,User: Scratch on rear door from shopping cart.\nAgent: Please share photos.\nUser: Attached door scratch images.,car
user_002,images/test/case_002/img_1_bumper_dent.jpg,User: Hit a pole front bumper dented.\nAgent: Bumper photo?\nUser: One bumper picture.,car
user_004,images/test/case_003/img_1_screen_crack.jpg,User: Screen has crack line across display.\nAgent: Upload screen photo.\nUser: Photo attached.,laptop
user_005,images/test/case_004/img_1_box_torn.jpg,User: Outer box torn open on delivery.\nAgent: Packaging photos?\nUser: Torn seal photo.,package
user_006,images/test/case_005/img_1_box_crush.jpg;images/test/case_005/img_2_box_corner.jpg,User: Box completely crushed.\nAgent: Multiple angles help.\nUser: Two crushed box photos.,package
user_003,images/test/case_006/img_1_windshield_shatter.jpg,User: Windshield shattered in storm.\nAgent: Glass damage photo?\nUser: Shattered windshield image.,car
user_001,images/test/case_007/img_1_hood_clean.jpg,User: Hood has deep scratch.\nAgent: Hood photo?\nUser: Attached hood image.,car
user_002,images/test/case_008/img_1_keyboard_damage.jpg,User: Keyboard keys broken after drop.\nAgent: Keyboard photo?\nUser: Broken key photo.,laptop
user_005,images/test/case_009/img_1_blur.jpg,User: Package water damaged.\nAgent: Clear photos of stains?\nUser: Blurry photo only.,package
user_004,images/test/case_010/img_1_wrong_object.jpg,User: Laptop corner dented.\nAgent: Laptop photo?\nUser: Attached image.,laptop
